KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
15123392,STATEN ISLAND,10314,6/10/15,6/16/15,0,0.129
15123297,MASPETH,11378,6/10/15,6/16/15,10,0.083
15123361,STATEN ISLAND,10308,6/10/15,6/15/15,2,0.104
15123371,STATEN ISLAND,10307,6/10/15,6/15/15,0,0.194
15123457,STATEN ISLAND,10304,6/10/15,6/16/15,5,0.118
15123271,FLUSHING,11354,6/10/15,6/15/15,10,0.139
15123304,FLUSHING,11358,6/10/15,6/12/15,6,0.118
15123352,STATEN ISLAND,10309,6/10/15,6/15/15,0,0.116
15123499,LONG ISLAND CITY,11101,6/10/15,6/12/15,5,0.089
15123302,STATEN ISLAND,10312,6/10/15,6/15/15,3,0.138
15123412,BROOKLYN,11223,6/10/15,6/16/15,12,0.05
15123254,BROOKLYN,11213,6/10/15,6/12/15,3,0.088
15123296,RIDGEWOOD,11385,6/11/15,6/16/15,6,0.091
15123405,STATEN ISLAND,10303,6/11/15,6/22/15,3,0.258
15123247,STATEN ISLAND,10307,6/11/15,6/16/15,0,0.172
15123437,BROOKLYN,11215,6/11/15,6/16/15,4,0.122
15123446,RIDGEWOOD,11385,6/11/15,6/16/15,3,0.161
15123515,STATEN ISLAND,10309,6/11/15,6/16/15,0,0.118
15123455,WOODSIDE,11377,6/11/15,6/16/15,1,0.065
15123233,JAMAICA,11433,6/11/15,6/16/15,0,0.146
15123316,RIDGEWOOD,11385,6/11/15,6/22/15,7,0.134
15123494,BROOKLYN,11226,6/11/15,6/16/15,5,0.119
15123255,STATEN ISLAND,10301,6/11/15,6/16/15,32,0.343
15123523,BROOKLYN,11206,6/11/15,6/16/15,11,0.167
15123543,BRONX,10462,6/12/15,6/19/15,20,0.281
15123231,KEW GARDENS,11415,6/12/15,6/16/15,0,0.049
15123502,FOREST HILLS,11375,6/12/15,6/18/15,11,0.151
15123329,BROOKLYN,11223,6/12/15,6/16/15,4,0.088
15123281,BRONX,10464,6/12/15,6/16/15,9,0.149
15123293,BAYSIDE,11361,6/12/15,6/16/15,10,0.072
15123313,LITTLE NECK,11363,6/12/15,6/16/15,8,0.103
15123308,FLUSHING,11354,6/12/15,6/18/15,3,0.11
15123460,STATEN ISLAND,10305,6/13/15,6/16/15,89,0.134
15123368,STATEN ISLAND,10312,6/13/15,6/18/15,0,0.097
15123443,FOREST HILLS,11375,6/13/15,6/22/15,9,0.159
15123351,STATEN ISLAND,10314,6/14/15,6/17/15,0,0.043
15123288,FLUSHING,11358,6/14/15,6/16/15,14,0.121
15123414,STATEN ISLAND,10305,6/14/15,6/24/15,0,0.134
15123305,FLUSHING,11354,6/14/15,6/17/15,1,0.239
15123341,STATEN ISLAND,10308,6/15/15,6/19/15,0,0.034
